iter	Passed	Remaining
0	13	6226
1	23	5272
2	29	4359
3	42	4720
4	52	4592
5	65	4838
6	79	4974
7	89	4885
8	98	4806
9	112	4925
10	132	5223
11	138	5002
12	144	4812
13	150	4652
14	164	4713
15	176	4752
16	205	5174
17	227	5417
18	229	5167
19	246	5256
20	259	5252
21	275	5307
22	284	5229
23	293	5158
24	295	4973
25	301	4867
26	306	4763
27	319	4774
28	325	4680
29	339	4713
30	352	4719
31	368	4763
32	385	4824
33	399	4835
34	404	4746
35	416	4747
36	426	4710
37	442	4752
38	458	4782
39	464	4715
40	475	4694
41	490	4714
42	504	4729
43	514	4699
44	519	4628
45	531	4625
46	541	4598
47	547	4539
48	556	4510
49	565	4481
50	588	4556
51	604	4580
52	617	4580
53	630	4577
54	650	4621
55	652	4543
56	666	4545
57	678	4540
58	691	4537
59	705	4540
60	722	4557
61	728	4509
62	737	4483
63	750	4480
64	767	4499
65	777	4475
66	794	4492
67	804	4470
68	813	4446
69	829	4452
70	835	4413
71	845	4390
72	851	4348
73	864	4344
74	872	4317
75	882	4297
76	899	4309
77	925	4365
78	936	4348
79	946	4329
80	959	4322
81	975	4330
82	988	4323
83	1005	4334
84	1015	4311
85	1024	4288
86	1030	4250
87	1042	4242
88	1051	4219
89	1065	4214
90	1078	4208
91	1088	4187
92	1094	4154
93	1110	4158
94	1123	4151
95	1137	4146
96	1147	4129
97	1161	4123
98	1170	4103
99	1188	4111
100	1194	4081
101	1204	4062
102	1218	4056
103	1225	4028
104	1227	3985
105	1241	3982
106	1243	3940
107	1280	4006
108	1291	3993
109	1304	3984
110	1318	3978
111	1325	3954
112	1336	3938
113	1338	3898
114	1352	3892
115	1358	3863
116	1363	3835
117	1379	3835
118	1389	3818
119	1402	3810
120	1411	3792
121	1418	3766
122	1420	3729
123	1437	3732
124	1448	3719
125	1461	3712
126	1475	3705
127	1488	3697
128	1508	3706
129	1521	3699
130	1531	3681
131	1540	3664
132	1557	3664
133	1570	3656
134	1576	3630
135	1585	3613
136	1594	3595
137	1600	3571
138	1613	3563
139	1622	3547
140	1635	3537
141	1640	3513
142	1658	3513
143	1674	3511
144	1691	3511
145	1702	3497
146	1708	3474
147	1724	3473
148	1740	3470
149	1753	3461
150	1766	3451
151	1785	3454
152	1799	3445
153	1810	3432
154	1827	3430
155	1843	3426
156	1856	3416
157	1875	3418
158	1888	3408
159	1900	3397
160	1910	3381
161	1919	3365
162	1932	3354
163	1941	3337
164	1951	3323
165	1965	3315
166	1970	3292
167	1983	3281
168	1991	3264
169	2001	3249
170	2010	3233
171	2016	3212
172	2022	3191
173	2036	3183
174	2053	3180
175	2063	3166
176	2079	3160
177	2088	3145
178	2105	3141
179	2121	3135
180	2134	3125
181	2140	3104
182	2146	3084
183	2152	3064
184	2164	3054
185	2174	3039
186	2180	3019
187	2182	2994
188	2195	2985
189	2204	2970
190	2210	2951
191	2223	2940
192	2236	2931
193	2249	2922
194	2259	2908
195	2279	2907
196	2297	2903
197	2304	2886
198	2319	2879
199	2333	2870
